States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"5,767","4,756",944,67
Kano,999,501,450,48
FCT,952,664,265,23
Edo,401,268,109,24
Katsina,395,176,199,20
Oyo,365,246,112,7
Borno,356,142,188,26
Ogun,355,156,186,13
Kaduna,343,127,206,10
Rivers,332,175,136,21
Bauchi,291,58,224,9
Jigawa,283,125,153,5
Gombe,217,72,135,10
Delta,148,105,35,8
Kwara,135,89,45,1
Sokoto,129,14,101,14
Plateau,115,29,84,2
Nasarawa,112,76,31,5
Ebonyi,103,78,25,0
Abia,83,76,7,0
Zamfara,76,0,71,5
Imo,68,49,19,0
Yobe,52,20,25,7
Osun,49,7,38,4
Akwa Ibom,45,29,14,2
Niger,44,17,26,1
Adamawa,42,11,27,4
Ondo,42,14,21,7
Kebbi,35,2,29,4
Enugu,30,15,14,1
Bayelsa,30,19,8,3
Anambra,29,25,3,1
Ekiti,29,9,18,2
Taraba,18,8,10,0
Benue,13,12,1,0
Kogi,3,3,0,0
